Time,Signal
-0.00298,-1.6
-0.002976,-1.6
-0.002972,-1.2
-0.002968,-1.6
-0.002964,-1.6
-0.00296,-1.2
-0.002956,-1.6
-0.002952,-1.6
-0.002948,-1.6
-0.002944,-1.6
-0.00294,-1.6
-0.002936,-1.2
-0.002932,-1.2
-0.002928,-1.2
-0.002924,-1.6
-0.00292,-1.2
-0.002916,-1.2
-0.002912,-1.2
-0.002908,-1.2
-0.002904,-1.2
-0.0029,-1.2
-0.002896,-1.2
-0.002892,-1.2
-0.002888,-1.2
-0.002884,-0.8
-0.00288,-1.2
-0.002876,-1.2
-0.002872,-0.8
-0.002868,-1.2
-0.002864,-1.2
-0.00286,-1.2
-0.002856,-1.2
-0.002852,-1.2
-0.002848,-1.2
-0.002844,-1.2
-0.00284,-0.8
-0.002836,-0.8
-0.002832,-0.8
-0.002828,-0.8
-0.002824,-0.8
-0.00282,-0.8
-0.002816,-0.8
-0.002812,-0.8
-0.002808,-0.8
-0.002804,-1.2
-0.0028,-0.8
-0.002796,-0.8
-0.002792,-0.8
-0.002788,-0.8
-0.002784,-0.8
-0.00278,-0.4
-0.002776,-0.8
-0.002772,-0.8
-0.002768,-0.4
-0.002764,-0.8
-0.00276,-0.4
-0.002756,-0.4
-0.002752,-0.8
-0.002748,-0.4
-0.002744,-0.4
-0.00274,-0.4
-0.002736,-0.4
-0.002732,-0.4
-0.002728,-0.4
-0.002724,-0.4
-0.00272,-0.4
-0.002716,-0.4
-0.002712,-0.4
-0.002708,-0.4
-0.002704,-0.4
-0.0027,-0.4
-0.002696,-0.4
-0.002692,-0.4
-0.002688,-0.4
-0.002684,-0.4
-0.00268,-0.4
-0.002676,-0.4
-0.002672,-0.4
-0.002668,-0.4
-0.002664,-0.4
-0.00266,-0.4
-0.002656,-0.4
-0.002652,-0.4
-0.002648,-0.4
-0.002644,-0.4
-0.00264,-0.4
-0.002636,-0.4
-0.002632,-0.4
-0.002628,-0.4
-0.002624,0.0
-0.00262,0.4
-0.002616,0.0
-0.002612,0.0
-0.002608,0.0
-0.002604,0.0
-0.0026,0.0
-0.002596,0.0
-0.002592,0.0
-0.002588,0.0
-0.002584,0.0
-0.00258,0.0
-0.002576,0.0
-0.002572,0.4
-0.002568,0.0
-0.002564,0.0
-0.00256,0.0
-0.002556,0.0
-0.002552,0.0
-0.002548,0.4
-0.002544,0.4
-0.00254,0.4
-0.002536,0.4
-0.002532,0.4
-0.002528,0.4
-0.002524,0.4
-0.00252,0.4
-0.002516,0.4
-0.002512,0.4
-0.002508,0.4
-0.002504,0.4
-0.0025,0.8
-0.002496,0.8
-0.002492,0.4
-0.002488,0.4
-0.002484,0.4
-0.00248,0.8
-0.002476,0.4
-0.002472,0.4
-0.002468,0.4
-0.002464,0.8
-0.00246,0.8
-0.002456,0.8
-0.002452,0.4
-0.002448,0.8
-0.002444,0.8
-0.00244,0.4
-0.002436,0.8
-0.002432,0.8
-0.002428,0.8
-0.002424,0.8
-0.00242,0.8
-0.002416,0.8
-0.002412,0.8
-0.002408,1.2
-0.002404,0.8
-0.0024,0.8
-0.002396,1.2
-0.002392,0.8
-0.002388,0.8
-0.002384,0.8
-0.00238,1.2
-0.002376,1.2
-0.002372,1.6
-0.002368,1.2
-0.002364,1.2
-0.00236,0.8
-0.002356,0.8
-0.002352,1.2
-0.002348,1.2
-0.002344,1.2
-0.00234,1.2
-0.002336,1.2
-0.002332,1.2
-0.002328,1.2
-0.002324,1.2
-0.00232,1.2
-0.002316,1.6
-0.002312,1.2
-0.002308,1.2
-0.002304,1.6
-0.0023,1.2
-0.002296,1.2
-0.002292,1.2
-0.002288,1.6
-0.002284,1.6
-0.00228,1.6
-0.002276,1.2
-0.002272,1.6
-0.002268,1.6
-0.002264,1.6
-0.00226,1.6
-0.002256,1.6
-0.002252,1.6
-0.002248,1.6
-0.002244,1.6
-0.00224,1.6
-0.002236,1.6
-0.002232,1.6
-0.002228,1.6
-0.002224,1.6
-0.00222,1.6
-0.002216,1.6
-0.002212,1.6
-0.002208,2.0
-0.002204,1.6
-0.0022,2.0
-0.002196,1.6
-0.002192,1.6
-0.002188,1.6
-0.002184,1.6
-0.00218,1.6
-0.002176,1.6
-0.002172,1.6
-0.002168,2.0
-0.002164,1.6
-0.00216,2.0
-0.002156,2.0
-0.002152,2.0
-0.002148,1.6
-0.002144,2.0
-0.00214,2.0
-0.002136,1.6
-0.002132,2.0
-0.002128,2.0
-0.002124,2.0
-0.00212,2.0
-0.002116,2.0
-0.002112,2.0
-0.002108,2.0
-0.002104,2.0
-0.0021,1.6
-0.002096,2.0
-0.002092,2.0
-0.002088,2.0
-0.002084,2.0
-0.00208,2.0
-0.002076,2.0
-0.002072,2.0
-0.002068,2.4
-0.002064,2.0
-0.00206,2.4
-0.002056,2.0
-0.002052,2.0
-0.002048,2.4
-0.002044,2.4
-0.00204,2.4
-0.002036,2.4
-0.002032,2.4
-0.002028,2.4
-0.002024,2.0
-0.00202,2.4
-0.002016,2.4
-0.002012,2.4
-0.002008,2.4
-0.002004,2.4
-0.002,2.4
-0.001996,2.4
-0.001992,2.4
-0.001988,2.4
-0.001984,2.4
-0.00198,2.4
-0.001976,2.4
-0.001972,2.4
-0.001968,2.4
-0.001964,2.4
-0.00196,2.4
-0.001956,2.4
-0.001952,2.4
-0.001948,2.4
-0.001944,2.4
-0.00194,2.4
-0.001936,2.4
-0.001932,2.4
-0.001928,2.4
-0.001924,2.4
-0.00192,2.4
-0.001916,2.4
-0.001912,2.4
-0.001908,2.4
-0.001904,2.8
-0.0019,2.4
-0.001896,2.4
-0.001892,2.4
-0.001888,2.4
-0.001884,2.4
-0.00188,2.4
-0.001876,2.8
-0.001872,2.4
-0.001868,2.4
-0.001864,2.4
-0.00186,2.4
-0.001856,2.4
-0.001852,2.8
-0.001848,2.4
-0.001844,2.4
-0.00184,2.8
-0.001836,2.8
-0.001832,2.8
-0.001828,2.8
-0.001824,2.8
-0.00182,2.4
-0.001816,2.4
-0.001812,2.8
-0.001808,2.8
-0.001804,2.4
-0.0018,2.8
-0.001796,2.4
-0.001792,2.8
-0.001788,2.4
-0.001784,2.4
-0.00178,2.4
-0.001776,2.4
-0.001772,2.4
-0.001768,2.8
-0.001764,2.4
-0.00176,2.8
-0.001756,2.8
-0.001752,2.8
-0.001748,2.8
-0.001744,2.4
-0.00174,2.8
-0.001736,2.8
-0.001732,2.4
-0.001728,2.8
-0.001724,2.8
-0.00172,2.8
-0.001716,2.8
-0.001712,2.8
-0.001708,2.8
-0.001704,2.8
-0.0017,2.8
-0.001696,2.8
-0.001692,2.8
-0.001688,2.8
-0.001684,2.8
-0.00168,2.8
-0.001676,2.8
-0.001672,2.8
-0.001668,2.8
-0.001664,2.8
-0.00166,2.4
-0.001656,2.8
-0.001652,2.8
-0.001648,2.8
-0.001644,2.8
-0.00164,2.8
-0.001636,2.8
-0.001632,2.8
-0.001628,2.8
-0.001624,2.4
-0.00162,2.8
-0.001616,2.8
-0.001612,2.8
-0.001608,2.8
-0.001604,2.8
-0.0016,2.8
-0.001596,2.8
-0.001592,2.8
-0.001588,2.8
-0.001584,2.8
-0.00158,2.8
-0.001576,2.8
-0.001572,2.8
-0.001568,2.8
-0.001564,2.4
-0.00156,2.8
-0.001556,2.8
-0.001552,2.8
-0.001548,2.8
-0.001544,2.8
-0.00154,2.8
-0.001536,2.8
-0.001532,2.8
-0.001528,2.8
-0.001524,2.8
-0.00152,2.8
-0.001516,2.8
-0.001512,2.8
-0.001508,2.8
-0.001504,2.4
-0.0015,2.8
-0.001496,2.8
-0.001492,2.8
-0.001488,2.8
-0.001484,2.8
-0.00148,2.8
-0.001476,2.8
-0.001472,2.8
-0.001468,2.8
-0.001464,2.8
-0.00146,2.8
-0.001456,2.8
-0.001452,2.8
-0.001448,2.8
-0.001444,2.8
-0.00144,2.8
-0.001436,2.4
-0.001432,2.8
-0.001428,2.8
-0.001424,2.8
-0.00142,2.8
-0.001416,2.8
-0.001412,2.8
-0.001408,2.8
-0.001404,2.8
-0.0014,2.8
-0.001396,2.8
-0.001392,2.8
-0.001388,2.8
-0.001384,2.8
-0.00138,2.8
-0.001376,2.8
-0.001372,2.8
-0.001368,2.8
-0.001364,2.8
-0.00136,2.8
-0.001356,2.8
-0.001352,2.8
-0.001348,2.8
-0.001344,2.8
-0.00134,3.2
-0.001336,2.8
-0.001332,2.8
-0.001328,2.8
-0.001324,2.8
-0.00132,2.8
-0.001316,2.8
-0.001312,2.8
-0.001308,2.8
-0.001304,2.8
-0.0013,2.8
-0.001296,2.8
-0.001292,2.8
-0.001288,2.8
-0.001284,2.8
-0.00128,2.8
-0.001276,2.8
-0.001272,2.8
-0.001268,2.8
-0.001264,2.4
-0.00126,2.8
-0.001256,2.8
-0.001252,3.2
-0.001248,2.8
-0.001244,2.8
-0.00124,2.8
-0.001236,2.8
-0.001232,2.8
-0.001228,2.8
-0.001224,2.8
-0.00122,2.8
-0.001216,2.8
-0.001212,2.8
-0.001208,2.8
-0.001204,2.8
-0.0012,2.8
-0.001196,2.8
-0.001192,2.8
-0.001188,2.8
-0.001184,2.8
-0.00118,2.8
-0.001176,2.8
-0.001172,2.4
-0.001168,2.8
-0.001164,2.8
-0.00116,2.8
-0.001156,2.8
-0.001152,2.8
-0.001148,2.8
-0.001144,2.8
-0.00114,2.8
-0.001136,2.8
-0.001132,2.8
-0.001128,2.8
-0.001124,2.8
-0.00112,2.8
-0.001116,2.8
-0.001112,2.8
-0.001108,2.8
-0.001104,2.8
-0.0011,2.8
-0.001096,2.8
-0.001092,2.4
-0.001088,2.8
-0.001084,2.8
-0.00108,2.8
-0.001076,2.8
-0.001072,2.4
-0.001068,2.4
-0.001064,2.4
-0.00106,2.8
-0.001056,2.8
-0.001052,2.4
-0.001048,2.4
-0.001044,2.8
-0.00104,2.8
-0.001036,2.8
-0.001032,2.4
-0.001028,2.8
-0.001024,2.8
-0.00102,2.8
-0.001016,2.4
-0.001012,2.8
-0.001008,2.8
-0.001004,2.4
-0.001,2.8
-0.000996,2.8
-0.000992,2.4
-0.000988,2.8
-0.000984,2.8
-0.00098,2.8
-0.000976,2.8
-0.000972,2.8
-0.000968,2.8
-0.000964,2.8
-0.00096,2.8
-0.000956,2.8
-0.000952,2.8
-0.000948,2.4
-0.000944,2.8
-0.00094,2.4
-0.000936,2.8
-0.000932,2.8
-0.000928,2.4
-0.000924,2.4
-0.00092,2.8
-0.000916,2.8
-0.000912,2.4
-0.000908,2.8
-0.000904,2.4
-0.0009,2.8
-0.000896,2.8
-0.000892,2.8
-0.000888,2.8
-0.000884,2.8
-0.00088,2.8
-0.000876,2.8
-0.000872,2.8
-0.000868,2.8
-0.000864,2.8
-0.00086,2.4
-0.000856,2.4
-0.000852,2.8
-0.000848,2.8
-0.000844,2.4
-0.00084,2.8
-0.000836,2.8
-0.000832,2.8
-0.000828,2.4
-0.000824,2.4
-0.00082,2.8
-0.000816,2.8
-0.000812,2.4
-0.000808,2.4
-0.000804,2.8
-0.0008,2.4
-0.000796,2.8
-0.000792,2.8
-0.000788,2.4
-0.000784,2.8
-0.00078,2.8
-0.000776,2.8
-0.000772,2.8
-0.000768,2.8
-0.000764,2.4
-0.00076,2.8
-0.000756,2.8
-0.000752,2.8
-0.000748,2.8
-0.000744,2.8
-0.00074,2.8
-0.000736,2.8
-0.000732,2.8
-0.000728,2.8
-0.000724,2.8
-0.00072,2.8
-0.000716,2.8
-0.000712,2.8
-0.000708,2.8
-0.000704,2.8
-0.0007,2.8
-0.000696,2.4
-0.000692,2.8
-0.000688,2.8
-0.000684,2.8
-0.00068,2.8
-0.000676,2.8
-0.000672,2.4
-0.000668,2.8
-0.000664,2.8
-0.00066,2.8
-0.000656,2.4
-0.000652,2.8
-0.000648,2.8
-0.000644,2.4
-0.00064,2.4
-0.000636,2.4
-0.000632,2.8
-0.000628,2.4
-0.000624,2.8
-0.00062,2.4
-0.000616,2.8
-0.000612,2.4
-0.000608,2.4
-0.000604,2.8
-0.0006,2.8
-0.000596,2.4
-0.000592,2.8
-0.000588,2.8
-0.000584,2.8
-0.00058,2.4
-0.000576,2.8
-0.000572,2.8
-0.000568,2.8
-0.000564,2.4
-0.00056,2.8
-0.000556,2.4
-0.000552,2.8
-0.000548,2.8
-0.000544,2.8
-0.00054,2.8
-0.000536,2.8
-0.000532,2.8
-0.000528,2.8
-0.000524,2.8
-0.00052,2.8
-0.000516,2.8
-0.000512,2.8
-0.000508,2.4
-0.000504,2.8
-0.0005,2.8
-0.000496,2.8
-0.000492,2.4
-0.000488,2.8
-0.000484,2.8
-0.00048,2.8
-0.000476,2.8
-0.000472,3.2
-0.000468,2.8
-0.000464,2.8
-0.00046,2.8
-0.000456,2.8
-0.000452,2.8
-0.000448,2.8
-0.000444,2.8
-0.00044,2.8
-0.000436,2.8
-0.000432,2.8
-0.000428,2.8
-0.000424,2.8
-0.00042,2.8
-0.000416,2.4
-0.000412,2.8
-0.000408,2.8
-0.000404,2.8
-0.0004,2.8
-0.000396,2.8
-0.000392,2.8
-0.000388,2.8
-0.000384,2.8
-0.00038,2.8
-0.000376,2.8
-0.000372,2.8
-0.000368,2.8
-0.000364,2.8
-0.00036,2.8
-0.000356,2.8
-0.000352,2.8
-0.000348,2.8
-0.000344,2.8
-0.00034,2.8
-0.000336,2.8
-0.000332,2.8
-0.000328,2.8
-0.000324,2.8
-0.00032,2.8
-0.000316,2.8
-0.000312,2.8
-0.000308,2.8
-0.000304,2.8
-0.0003,2.8
-0.000296,2.8
-0.000292,2.8
-0.000288,2.8
-0.000284,2.8
-0.00028,2.8
-0.000276,2.8
-0.000272,3.2
-0.000268,2.8
-0.000264,2.8
-0.00026,2.8
-0.000256,3.2
-0.000252,2.8
-0.000248,2.8
-0.000244,2.8
-0.00024,2.8
-0.000236,2.8
-0.000232,2.8
-0.000228,2.8
-0.000224,3.2
-0.00022,2.8
-0.000216,2.8
-0.000212,2.8
-0.000208,2.8
-0.000204,2.8
-0.0002,3.2
-0.000196,2.8
-0.000192,2.8
-0.000188,2.8
-0.000184,2.8
-0.00018,2.8
-0.000176,3.2
-0.000172,2.8
-0.000168,2.8
-0.000164,3.2
-0.00016,3.2
-0.000156,2.8
-0.000152,3.2
-0.000148,2.8
-0.000144,2.8
-0.00014,3.2
-0.000136,3.2
-0.000132,3.2
-0.000128,3.2
-0.000124,3.2
-0.00012,3.2
-0.000116,2.8
-0.000112,2.8
-0.000108,3.2
-0.000104,3.2
-0.0001,2.8
-9.6e-05,2.8
-9.2e-05,2.8
-8.8e-05,3.2
-8.4e-05,3.2
-8e-05,3.2
-7.6e-05,3.2
-7.2e-05,3.2
-6.8e-05,3.2
-6.4e-05,3.2
-6e-05,3.2
-5.6e-05,3.2
-5.2e-05,3.2
-4.8e-05,3.2
-4.4e-05,2.8
-4e-05,3.2
-3.6e-05,3.2
-3.2e-05,2.8
-2.8e-05,3.2
-2.4e-05,3.2
-2e-05,3.2
-1.6e-05,3.2
-1.2e-05,3.2
-8e-06,3.2
-4e-06,3.2
-0.0,3.2
4e-06,3.2
8e-06,3.2
1.2e-05,3.2
1.6e-05,3.2
2e-05,3.2
2.4e-05,3.2
2.8e-05,3.2
3.2e-05,3.2
3.6e-05,2.8
4e-05,3.2
4.4e-05,3.2
4.8e-05,3.2
5.2e-05,3.2
5.6e-05,3.2
6e-05,3.2
6.4e-05,3.2
6.8e-05,3.2
7.2e-05,3.2
7.6e-05,3.2
8e-05,3.2
8.4e-05,3.2
8.8e-05,3.2
9.2e-05,3.2
9.6e-05,3.2
0.0001,3.2
0.000104,3.2
0.000108,3.2
0.000112,3.2
0.000116,3.2
0.00012,3.2
0.000124,3.2
0.000128,3.2
0.000132,3.2
0.000136,3.2
0.00014,3.2
0.000144,3.2
0.000148,3.2
0.000152,3.2
0.000156,2.8
0.00016,3.2
0.000164,3.2
0.000168,3.2
0.000172,3.2
0.000176,3.2
0.00018,3.2
0.000184,3.6
0.000188,3.6
0.000192,3.2
0.000196,3.2
0.0002,3.2
0.000204,3.2
0.000208,3.2
0.000212,3.2
0.000216,3.2
0.00022,3.2
0.000224,3.2
0.000228,3.2
0.000232,3.2
0.000236,3.2
0.00024,3.2
0.000244,3.6
0.000248,3.6
0.000252,3.2
0.000256,3.2
0.00026,3.2
0.000264,3.2
0.000268,3.2
0.000272,3.2
0.000276,3.2
0.00028,3.2
0.000284,3.2
0.000288,3.2
0.000292,3.6
0.000296,3.2
0.0003,3.2
0.000304,3.2
0.000308,3.6
0.000312,3.2
0.000316,3.2
0.00032,3.6
0.000324,3.2
0.000328,3.2
0.000332,3.2
0.000336,3.2
0.00034,3.6
0.000344,3.2
0.000348,3.2
0.000352,3.2
0.000356,3.2
0.00036,3.2
0.000364,3.6
0.000368,3.2
0.000372,3.6
0.000376,3.2
